ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
11,1,10000K,High,[0.70105657;1.0;1.0],[0.65266434;1.0;1.0]
11,1,10000K,Low,[0.70300592;1.0;1.0],[0.64507014;1.0;1.0]
11,2,10000K,Low,[0.01461685;1.0;1.0],[0.98090517;1.0;1.0]
11,3,10000K,Low,[0.36563501;1.0;1.0],[0.25038664;1.0;1.0]
11,1,4000K,Normal,[0.67524257;1.0;1.0],[0.66166628;1.0;1.0]
11,3,4000K,Normal,[0.34729236;1.0;1.0],[0.29373800;1.0;1.0]
11,2,4000K,Normal,[0.01080480;1.0;1.0],[0.99122593;1.0;1.0]
11,1,4000K,High,[0.69210081;1.0;1.0],[0.65648514;1.0;1.0]
11,3,4000K,High,[0.36094910;1.0;1.0],[0.29485851;1.0;1.0]
11,2,4000K,High,[0.01235595;1.0;1.0],[0.98297224;1.0;1.0]
11,3,4000K,Low,[0.36388581;1.0;1.0],[0.27667611;1.0;1.0]
11,2,4000K,Low,[0.02459680;1.0;1.0],[0.97655141;1.0;1.0]
11,1,4000K,Low,[0.69061996;1.0;1.0],[0.64611360;1.0;1.0]
11,2,7000K,Normal,[0.00770703;1.0;1.0],[0.98012733;1.0;1.0]
11,3,7000K,Normal,[0.34029377;1.0;1.0],[0.28410397;1.0;1.0]
11,1,7000K,Normal,[0.69279229;1.0;1.0],[0.65360592;1.0;1.0]
12,2,7000K,Low,[0.02769609;1.0;1.0],[0.98747783;1.0;1.0]
12,3,7000K,Low,[0.33911944;1.0;1.0],[0.26240193;1.0;1.0]
12,1,7000K,Low,[0.69100521;1.0;1.0],[0.64482917;1.0;1.0]
12,2,10000K,Normal,[0.00781713;1.0;1.0],[0.98765297;1.0;1.0]
12,1,10000K,Normal,[0.69274463;1.0;1.0],[0.65044221;1.0;1.0]
12,3,10000K,Normal,[0.34836819;1.0;1.0],[0.27362458;1.0;1.0]
12,3,10000K,High,[0.34108178;1.0;1.0],[0.26586286;1.0;1.0]
12,2,10000K,High,[0.02974986;1.0;1.0],[0.98479051;1.0;1.0]
12,1,10000K,High,[0.69512424;1.0;1.0],[0.65071295;1.0;1.0]
12,1,10000K,Low,[0.70520667;1.0;1.0],[0.65821370;1.0;1.0]
12,2,10000K,Low,[0.01665171;1.0;1.0],[0.99803763;1.0;1.0]
12,3,10000K,Low,[0.35207154;1.0;1.0],[0.25580019;1.0;1.0]
12,2,4000K,Normal,[0.01208188;1.0;1.0],[0.98815527;1.0;1.0]
12,1,4000K,Normal,[0.70515795;1.0;1.0],[0.65412759;1.0;1.0]
12,3,4000K,Normal,[0.34527666;1.0;1.0],[0.25259257;1.0;1.0]
12,2,4000K,High,[0.01283453;1.0;1.0],[0.98513551;1.0;1.0]
12,3,4000K,High,[0.33731323;1.0;1.0],[0.25005819;1.0;1.0]
12,1,4000K,High,[0.71425198;1.0;1.0],[0.64389835;1.0;1.0]
