ParticipantID,ColorID,LightingTemperature,LightingIntensity,IdealMatch,TextureRenderCentroidUB,TextureRenderCentroidLB
10,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.35092130:0.75156840:0.66966780),(0.30843640:0.69867890:0.66966780)
10,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67166520:0.76720790:0.77535190),(0.65527330:0.78543080:0.77535190)
10,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.99625650:0.69172930:0.62316360),(0.98541240:0.71035570:0.62316360)
10,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.35507920:0.82388950:0.38847540),(0.31088520:0.77224480:0.38847540)
10,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.00050764:0.75482700:0.36087690),(0.98921170:0.78860340:0.36087690)
10,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.66745690:0.83093050:0.45122350),(0.65456380:0.84837980:0.45122350)
10,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.32557070:0.71172960:0.52833680),(0.29151590:0.84197260:0.52833680)
10,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.69093150:0.70443380:0.43743180),(0.67179110:0.63119120:0.43743180)
10,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.02015848:0.86799530:0.63249030),(0.00815104:0.83649550:0.63249030)
10,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30923410:0.76950290:0.63937660),(0.29071330:0.82279600:0.63937660)
10,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.69911300:0.67342420:0.51980440),(0.68508880:0.65164730:0.51980440)
10,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.02464999:0.85298870:0.77068950),(0.00473989:0.80255980:0.77068950)
10,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.32085380:0.79779650:0.37348010),(0.29855970:0.89559450:0.37348010)
10,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.02075036:0.91065310:0.43642620),(0.99453380:0.83876600:0.43642620)
10,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.68726690:0.78605150:0.32889570),(0.67082890:0.72054650:0.32889570)
11,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00682074:0.72751490:0.74053590),(0.99260150:0.72319160:0.74053590)
11,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67792340:0.73562130:0.77535190),(0.66077890:0.73172480:0.77535190)
11,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.33544260:0.71859640:0.73917930),(0.28781230:0.72701480:0.73917930)
11,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34254860:0.78252080:0.42362040),(0.27698780:0.79114030:0.42362040)
11,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67194300:0.79975370:0.45122350),(0.66425470:0.79582490:0.45122350)
11,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.00968509:0.78956430:0.42044790),(0.99901310:0.78509620:0.42044790)
11,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.99499410:0.71835720:0.51378220),(0.97555700:0.73102070:0.51378220)
11,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.67828510:0.78412400:0.64016730),(0.65210800:0.80235840:0.64016730)
11,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.35050420:0.77104900:0.55262320),(0.27768450:0.71809280:0.55262320)
11,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.99474360:0.69821330:0.62316360),(0.98959640:0.71035570:0.62316360)
11,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.34594080:0.75156840:0.66966780),(0.29756480:0.69867890:0.66966780)
11,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67412350:0.76720790:0.77535190),(0.65988390:0.78543080:0.77535190)
11,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.67681820:0.83093050:0.45122350),(0.65691070:0.84837980:0.45122350)
11,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.99777620:0.76503470:0.36087690),(0.98463500:0.78860340:0.36087690)
11,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.36058170:0.82388950:0.38847540),(0.28176210:0.77224480:0.38847540)
11,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.69146780:0.70443380:0.43743180),(0.68727730:0.69811610:0.43743180)
11,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.30369130:0.82537470:0.52833680),(0.28148430:0.84197260:0.52833680)
11,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.01580288:0.86799530:0.63249030),(0.01246754:0.85991150:0.63249030)
11,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.70392500:0.67342420:0.51980440),(0.68708010:0.66052010:0.51980440)
11,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30744300:0.77929310:0.63937660),(0.28142290:0.82279600:0.63937660)
11,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01649509:0.85298870:0.77068950),(0.01120890:0.83595650:0.77068950)
